Company,Market Cap ($M),Revenue ($M),P/E Ratio,Current Stock Price ($)
"Amazon.com, Inc.",2133790.294016,650313.007104,32.78793,200.99
Mastercard Incorporated,511776.84992,29069.000704,39.52174,563.58
